"TIA","Albania","AV INTERNATIONAL-A/AV INTERNATIONAL/","1","3.35834","**Perflight Fees are not included.  HOOK-UP FEE: 10** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Hours of Operation: From 07:00 to 23:00 Monday to Sunday (Except holidays) & On call 24 /7 2) Ramps serviced: All ramps. 3) Additional Information: Below fees may apply: Refuelling outside Operating schedule time Refuelling on Official Bank Holiday Refuelling below 1.000 Liter No fuel charge (In case no refuel outside operating hours request or in case the operators goes underwing to the operator request) Refuelling with passengers during embarking, disembarking, on board. Excise and Carbon Tax VAT for Domestic flights. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-Dec-25"
"CPH","Denmark","SST (SHELL STATOIL TOTAL I/S) DKK/M3-A/WORLD FUEL COMMODITY SERVICES IRELAND LTD/","1","2.68139","**Perflight Fees are not included.  HOOK-UP FEE: 32.69601** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Any urgent info 1) Operating Hours : ITP normal operation hours: 0530 - 2330 local 2) Ramps serviced: All ramps 3) Additional Information: - Any urgent info NO PISTOL REFUELLING OR RFUELLING AVAILABLE AT F90-F98 and G15-G19 and W1 UNTIL 30/9/24 @ 08:00L - ADLEE msg_101sqs3n All Corporate Private flights operating without an AOC will be charged MOT. No fuel charge. Night fuelling service fee for all operations between 23:30pm and 05:30am . Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"CPH","Denmark","SST (SHELL STATOIL TOTAL I/S) USD/USG-A/WORLD FUEL COMMODITY SERVICES IRELAND LTD/","1","2.67075","**Perflight Fees are not included.  HOOK-UP FEE: 32.69601** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Any urgent info 1) Operating Hours : ITP normal operation hours: 0530 - 2330 local 2) Ramps serviced: All ramps 3) Additional Information: All Corporate Private flights operating without an AOC will be charged MOT. No fuel charge. Night fuelling service fee for all operations between 23:30pm and 05:30am . Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"CPH","Denmark","SST (SHELL STATOIL TOTAL I/S) EUR/M3-A/WORLD FUEL COMMODITY SERVICES IRELAND LTD/","1","2.68153","**Perflight Fees are not included.  HOOK-UP FEE: 32.69601** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Any urgent info 1) Operating Hours : ITP normal operation hours: 0530 - 2330 local 2) Ramps serviced: All ramps 3) Additional Information: All Corporate Private flights operating without an AOC will be charged MOT. No fuel charge . Night fuelling service fee for all operations between 23:30pm and 05:30am . Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"EBJ","Denmark","SHELL-A/EQUILON ENTERPRISES LLC DBA SHELL OIL PRODUCTS US/","1","4.49748","**Perflight Fees are not included.  INFRASTRUCTURE FEE: 77.06917** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating Hours: Mon-Fri 07.00-22.00 Sat. 08.30-18.00 Sun. 08.30-20.30 2) Additional Information: If applicable Extended Wing and/or No Fuel fees may apply. Fees are subject to change without prior notice For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com","15-Dec-25"
"FAE","Denmark","SHELL-A/EQUILON ENTERPRISES LLC DBA SHELL OIL PRODUCTS US/","1","6.08462","**Perflight Fees are not included.  HOOK-UP FEE: 62.27812,  INFRASTRUCTURE FEE: 23.3543** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","N/A","15-Dec-25"
"ODE","Denmark","AIR BP-A/BP AVIATION A/S/","1","6.12068","**Perflight Fees are not included.  HOOK-UP FEE: 15.56953** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Operating Hours: 08:00 - 21:00 Monday - Friday . 08:00 - 18:00 Saturday . 09:00 - 18:00 Sunday 1) Minimum Notice Required: Prior Notice - minimum 24 hours in advance 2) Additional Information: Jet A-1 operator fuelling is only available at ODE for underwing (pressure) fuelling. JET A by truck and Avgas available by self-service only . PRIST not available. No minimum uplift. If applicable Overwing, Overtime/Out of Hours, Small Uplift ( For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"ODE","Denmark","AIR BP-A/BP AVIATION A/S/","52.84","6.12068","**Perflight Fees are not included.  HOOK-UP FEE: 15.56953** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Operating Hours: 08:00 - 21:00 Monday - Friday . 08:00 - 18:00 Saturday . 09:00 - 18:00 Sunday 1) Minimum Notice Required: Prior Notice - minimum 24 hours in advance 2) Additional Information: Jet A-1 operator fuelling is only available at ODE for underwing (pressure) fuelling. JET A by truck and Avgas available by self-service only . PRIST not available. No minimum uplift. If applicable Overwing, Overtime/Out of Hours, Small Uplift ( For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"RKE","Denmark","SHELL-A/EQUILON ENTERPRISES LLC DBA SHELL OIL PRODUCTS US/","1","4.16738","**Perflight Fees are not included.  INFRASTRUCTURE FEE: 23.3543** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating hours:0700-2200 2) Ramps Serviced: All ramps 3) Additional information: If applicable Extended Wing, Out of Hours/Overtime and/or No Fuel fees may apply. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"RNN","Denmark","SHELL-A/EQUILON ENTERPRISES LLC DBA SHELL OIL PRODUCTS US/","1","4.51702","**Perflight Fees are not included.  HOOK-UP FEE: 62.27812,  INFRASTRUCTURE FEE: 23.3543** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Operating Hours: Mon-Fri 0600-2145L Sat 0700-1800L Sun 0700-2145L 1) Minimum Notice Required: 12 hours 2) Additional Information: If applicable Extended Wing, Out of Hours/Overtime and/or No Fuel fees may apply. Fees are subject to change without prior notice For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com","15-Dec-25"
"SGD","Denmark","SHELL-A/EQUILON ENTERPRISES LLC DBA SHELL OIL PRODUCTS US/","1","4.32998","**Perflight Fees are not included.  INFRASTRUCTURE FEE: 23.3543** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating Hours: Mon-Thu. 06.30-23.30 Fri. 07.00-22.00 Sat. 07.00-14.30 Sun. 13.30-20.30 2) Additional information: If applicable Extended Wing, Out of Hours/Overtime and/or No Fuel fees may apply. For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com","15-Dec-25"
"JIB","Djibouti","RUBIS ENERGIE DJIBOUTI-A/RUBIS ENERGIE DJIBOUTI/","1","4.47628","**Perflight Fees are not included.  FISCAL STAMP TAX: 5.63** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Minimum Notice Required: 1 Day Ramps serviced: Can fuel on Civil side and French and Japanese military area only. No access to the US military zone. Additional Information: CANNOT FUEL ON THE US military zone. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","10-Dec-25"
"DCF","Dominica","NATIONAL PETROLEUM MARKETING-A/TRINIDAD AND TOBAGO NATIONAL PETROLEUM MARKETING CO LTD/","1","99999","Price expired, Please contact World Fuel Services for updated price. **Price for fuel item: JET FUEL**","1) Minimum notice required: 24 hours 2) Ramps serviced : All ramps 3) Additional Information: Nil. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","11-Jul-25"
"DOM","Dominica","NPMC-A/TRINIDAD AND TOBAGO NATIONAL PETROLEUM MARKETING CO LTD/","1","99999","Price expired, Please contact World Fuel Services for updated price. **Price for fuel item: JET FUEL**","1) Minimum Notice Required:24 hours 2) Ramps serviced: All Ramps 3) Additional Information: Nil. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","11-Jul-25"
"DOM","Dominica","IAM CARIBBEAN INC-A/IAM CARIBBEAN INC/","1","7.76928","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum Notice Required:Nil 2) Ramps serviced: All Ramps 3) Additional Information: Nil for more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"AZS","Dominican Republic","GULFSTREAM-PETROLEUM LTD- A/GULFSTREAM-PETROLEUM LTD/","1","3.29038","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum notice required: Nil. 2) Ramps serviced: Nil. 3) Any urgent information Nil. For more information, please contact your local fuel logistics team on fuel24@wfscorp.com","12-Dec-25"
"BRX","Dominican Republic","TERPEL-A/ORGANIZACION TERPEL SA/","1","3.30688","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum Notice Required:None Required 2) Ramps serviced: All Ramps 3) Additional Information: None Required for more information please contact your local fuel logistics team on fuel24@wfscorp.com","12-Dec-25"
